score,review,user,w_date
10,ÇÑ±¹»ç¶÷µé ±ÞÇØ¼­ ¸¶Áö¸· ÃÖ°í Á¤Á¡À» ¸øº¸°í ¸· ³ª°¨ ¤Ì ¿Ö±×·¡¿ä..¤Ì¤Ì  ,À¯À¯(foxm****),2015.04.23 01:24
10,ÇÏ 1ÆíÀÌ ÀßµÇ¸é 2ÆíÀº ¸ÁÇÑ´Ù´õ´Ï... ´©°¡ ±×·¡ ÀÌ ¿µÈ­´Â ¹ÌÃÆ¾î  ,º°ÀÌ(ilu3****),2015.04.23 00:54
9,Ãæ¹«·Î¿¡¼­ ¸î³â°£ Á¶Æø¾ê±â³ª ²ôÀûÀÏ¶§ Çæ¸®¿ôÀº ¾Ç´çÁ¶Â÷ ¾÷±×·¹ÀÌµå µÈ´Ù.  ,ºñÅä´ÙÃ÷¾ß(outs****),2015.04.23 10:38
10,³ª¾î¸±Àû ¾Æºü¿Í¿ì·Ú¸Åº¸·¯±¸ ÁÙ¼¹´Âµ¥ ¼¼¿ùÀºÈê·¯ ³»µû³»¹Ì¿Í ¾îº¥Á®½ºº¸·¯ÁÙÀ»¼·´Ï´Ù TT  ,fbi0****,2015.04.23 08:25
10,³»°¡ ¿µÈ­°ü¿¡¼­ ÇÑ±¹¿µÈ­¸¦ ¾Èº¸´Â ÀÌÀ¯  ,Àå³­ÇÏ³Ä(cgs0****),2015.04.23 02:05
10,¿À´Ã ½Ã»çÈ¸´Ù³à¿Í¼­ »ýÀüÃ³À½À¸·Î ÆòÁ¡³²±é´Ï´Ù. ±ä¸»¸»°í °Á °¡¼­ º¸¼¼¿ä  ,dbtl****,2015.04.23 00:45
10,¾îº¥Á®½º Á¦¸ñ¸¸ µé¾îµµ ¼³·»´Ù  ,Ilpleutsurlaroute(dker****),2015.04.23 00:00
9,°ü¶÷°´ÇÑµ¿¾È ³î¸² ¹Þ°Ú±º....  ,²ÛÀïÀÌ(feel****),2015.04.23 11:02
6,"°ü¶÷°´½ºÄÉÀÏÀº 1¸øÁö¾Ê°Ô ÄÇÁö¸¸ ´õ Ãß°¡µÈ µîÀåÀÎ¹°µé°ú ¹ë·±½º³ª ¿µÈ­ÀÇÈå¸§µéÀÌ Á¶±Ý ½Ç¸ÁÀÌ¾ú½À´Ï´Ù Á¶±Ý ¾î¼ö¼±ÇÑ¸éµéÀÌ ¸¹¾Ò°í ¸¶Áö¸· ±ØÀÇ ÈÄ¹Ý±îÁö ±äÀå°¨À» Âß °¡Á®°¡´Â °ÍÀÌ Á¶±Ý ºÎÁ· Çß½À´Ï´Ù, ³Ê¹« ÇÑ¹ø¿¡ ¸¹Àº °ÍÀ» º¸¿©ÁÖ·Á´Ù Áö·çÇÏ°Ô º¸¿©Áø Á¡ÀÌÀÖ½À´Ï´Ù  ",RHJ(pros****),2015.04.23 13:12
10,ÀüÃ¼ÀûÀ¸·Î ¹«°Å¿ö Á³Áö¸¸ º¼°Å¸®µµ ÃæºÐÇß°í È÷¾î·ÎµéÀº ´É·Â°ú °³¼ºÀº Àß »ì·ÁÁÖ¾ú´Ù.  ,ÁØÈ£(june****),2015.04.23 08:23
10,°ü¶÷°´¸¶Áö¸· Àå¸é ²À º¸°í °¡½Ê½Ã¿À ¤»¤»¤»  ,lzxe****,2015.04.23 11:07
7,°ü¶÷°´ÆíÁý¿¡¼­ ¾à°£ ¾Æ½¬¿î °¨ÀÌ ÀÖ´Ù. ÇÑ±¹ÀÌ »ý°¢º¸´Ù ¸¹ÀÌ ³ª¿Í ¹Ý°©´õ¶ó.  ,quantum(ropk****),2015.04.23 11:26
