date,people,acc_people,acc_sales
2015-04-21,"2,442","2,442","24,541,000"
2015-04-22,"1,059","3,501","38,415,000"
2015-04-23,"622,165","625,666","5,277,228,700"
2015-04-24,"649,804","1,275,470","11,079,384,400"
2015-04-25,"1,155,761","2,431,231","21,202,301,200"
2015-04-26,"1,013,207","3,444,438","30,035,856,400"
2015-04-27,"295,125","3,739,563","32,554,146,500"
2015-04-28,"258,186","3,997,749","34,739,441,700"
2015-04-29,"321,740","4,319,489","37,109,988,400"
2015-04-30,"344,644","4,664,133","39,917,273,800"
2015-05-01,"772,772","5,436,905","46,449,760,700"
2015-05-02,"826,765","6,263,670","53,524,931,400"
2015-05-03,"747,935","7,011,605","59,935,243,500"
2015-05-04,"608,983","7,620,588","64,784,404,400"
2015-05-05,"712,523","8,333,111","70,758,364,800"
2015-05-06,"133,587","8,466,698","71,845,325,100"
2015-05-07,"106,327","8,573,025","72,719,132,800"
2015-05-08,"146,621","8,719,646","73,970,946,869"
2015-05-09,"344,605","9,064,251","76,948,434,953"
2015-05-10,"313,171","9,377,422","79,625,803,453"
2015-05-11,"74,553","9,451,975","80,249,483,953"
2015-05-12,"73,593","9,525,568","80,862,113,753"
2015-05-13,"70,348","9,595,916","81,443,952,153"
2015-05-14,"44,369","9,640,285","81,780,319,653"
2015-05-15,"76,976","9,717,261","82,395,782,548"
2015-05-16,"165,492","9,882,753","83,731,204,857"
2015-05-17,"142,770","10,025,523","84,880,914,057"
2015-05-18,"33,900","10,059,423","85,142,268,057"
2015-05-19,"29,921","10,089,344","85,370,880,557"
2015-05-20,"29,516","10,118,860","85,595,714,657"
2015-05-21,"19,112","10,137,972","85,743,237,957"
2015-05-22,"26,631","10,164,603","85,958,554,117"
2015-05-23,"65,107","10,229,710","86,487,674,866"
2015-05-24,"81,852","10,311,562","87,151,070,166"
2015-05-25,"77,346","10,388,908","87,761,290,866"
2015-05-26,"13,325","10,402,233","87,864,420,766"
2015-05-27,"9,191","10,411,424","87,928,602,866"
2015-05-28,"5,791","10,417,215","87,971,163,666"
2015-05-29,"7,007","10,424,222","88,027,637,566"
2015-05-30,"23,346","10,447,568","88,212,896,966"
2015-05-31,"21,653","10,469,221","88,385,723,466"
2015-06-01,"4,592","10,473,813","88,419,957,666"
2015-06-02,"4,009","10,477,822","88,450,247,166"
2015-06-03,"2,110","10,479,932","88,465,955,966"
2015-06-04,"1,005","10,480,937","88,473,779,966"
2015-06-05,"1,749","10,482,686","88,488,686,466"
2015-06-06,"3,187","10,485,873","88,514,673,266"
2015-06-07,"2,738","10,488,611","88,536,828,966"
2015-06-08,852,"10,489,463","88,543,345,966"
2015-06-09,793,"10,490,256","88,549,360,266"
2015-06-10,819,"10,491,075","88,555,567,266"
2015-06-11,344,"10,491,419","88,558,112,366"
2015-06-12,441,"10,491,860","88,561,801,366"
2015-06-13,833,"10,492,693","88,568,731,566"
2015-06-14,639,"10,493,332","88,573,920,866"
2015-06-15,337,"10,493,669","88,576,385,366"
2015-06-16,330,"10,493,999","88,578,764,366"
2015-06-17,315,"10,494,314","88,581,112,366"
2015-06-18,1,"10,494,315","88,581,117,366"
2015-06-20,184,"10,494,499","88,582,586,366"
2018-10-28,139,"10,494,638","88,583,827,866"
2018-11-01,8,"10,494,646","88,583,883,866"
2018-11-02,11,"10,494,657","88,583,979,866"
2018-11-03,60,"10,494,717","88,584,499,366"
2018-11-04,69,"10,494,786","88,585,080,866"
2018-11-05,25,"10,494,811","88,585,283,866"
2018-11-06,29,"10,494,840","88,585,537,366"
