num,date,people,acc_people,acc_sales
1 ,2015-04-21,"2,442","2,442","24,541,000"
2 ,2015-04-22,"1,059","3,501","38,415,000"
3 ,2015-04-23,"622,165","625,666","5,277,228,700"
4 ,2015-04-24,"649,804","1,275,470","11,079,384,400"
5 ,2015-04-25,"1,155,761","2,431,231","21,202,301,200"
6 ,2015-04-26,"1,013,207","3,444,438","30,035,856,400"
7 ,2015-04-27,"295,125","3,739,563","32,554,146,500"
8 ,2015-04-28,"258,186","3,997,749","34,739,441,700"
9 ,2015-04-29,"321,740","4,319,489","37,109,988,400"
10 ,2015-04-30,"344,644","4,664,133","39,917,273,800"
11 ,2015-05-01,"772,772","5,436,905","46,449,760,700"
12 ,2015-05-02,"826,765","6,263,670","53,524,931,400"
13 ,2015-05-03,"747,935","7,011,605","59,935,243,500"
14 ,2015-05-04,"608,983","7,620,588","64,784,404,400"
15 ,2015-05-05,"712,523","8,333,111","70,758,364,800"
16 ,2015-05-06,"133,587","8,466,698","71,845,325,100"
17 ,2015-05-07,"106,327","8,573,025","72,719,132,800"
18 ,2015-05-08,"146,621","8,719,646","73,970,946,869"
19 ,2015-05-09,"344,605","9,064,251","76,948,434,953"
20 ,2015-05-10,"313,171","9,377,422","79,625,803,453"
21 ,2015-05-11,"74,553","9,451,975","80,249,483,953"
22 ,2015-05-12,"73,593","9,525,568","80,862,113,753"
23 ,2015-05-13,"70,348","9,595,916","81,443,952,153"
24 ,2015-05-14,"44,369","9,640,285","81,780,319,653"
25 ,2015-05-15,"76,976","9,717,261","82,395,782,548"
26 ,2015-05-16,"165,492","9,882,753","83,731,204,857"
27 ,2015-05-17,"142,770","10,025,523","84,880,914,057"
28 ,2015-05-18,"33,900","10,059,423","85,142,268,057"
29 ,2015-05-19,"29,921","10,089,344","85,370,880,557"
30 ,2015-05-20,"29,516","10,118,860","85,595,714,657"
