date,people,acc_people,acc_money
2018-04-24,624,624,"9,360,000"
2018-04-25,"980,042","980,666","6,938,631,100"
2018-04-26,"595,668","1,576,334","12,134,470,000"
2018-04-27,"739,908","2,316,242","19,160,496,870"
2018-04-28,"1,333,307","3,649,549","31,460,918,131"
2018-04-29,"1,114,946","4,764,495","41,768,335,531"
2018-04-30,"495,787","5,260,282","46,128,544,531"
2018-05-01,"717,324","5,977,606","52,141,788,731"
2018-05-02,"276,967","6,254,573","54,596,438,631"
2018-05-03,"265,430","6,520,003","56,936,843,031"
2018-05-04,"419,443","6,939,446","60,853,820,684"
2018-05-05,"820,839","7,760,285","68,405,361,544"
2018-05-06,"737,625","8,497,910","75,316,269,144"
2018-05-07,"516,678","9,014,588","80,069,149,344"
2018-05-08,"125,615","9,140,203","81,199,523,644"
2018-05-09,"109,370","9,249,573","82,182,435,044"
2018-05-10,"101,160","9,350,733","83,097,348,244"
2018-05-11,"144,261","9,494,994","84,480,017,518"
2018-05-12,"348,486","9,843,480","87,782,707,101"
2018-05-13,"290,488","10,133,968","90,521,923,401"
2018-05-14,"79,245","10,213,213","91,251,545,901"
2018-05-15,"83,822","10,297,035","92,008,539,101"
2018-05-16,"47,865","10,344,900","92,394,647,701"
2018-05-17,"41,149","10,386,049","92,730,558,701"
2018-05-18,"59,412","10,445,461","93,251,716,577"
2018-05-19,"128,719","10,574,180","94,390,924,469"
2018-05-20,"115,791","10,689,971","95,412,761,069"
2018-05-21,"92,626","10,782,597","96,138,225,369"
2018-05-22,"90,877","10,873,474","96,923,872,769"
2018-05-23,"18,213","10,891,687","97,072,475,169"
2018-05-24,"14,346","10,906,033","97,188,996,669"
2018-05-25,"19,045","10,925,078","97,361,226,569"
2018-05-26,"46,992","10,972,070","97,778,150,169"
2018-05-27,"42,144","11,014,214","98,150,465,069"
2018-05-28,"12,833","11,027,047","98,254,461,569"
2018-05-29,"11,182","11,038,229","98,344,360,469"
2018-05-30,"16,391","11,054,620","98,445,306,069"
2018-05-31,"10,136","11,064,756","98,526,464,669"
2018-06-01,"13,433","11,078,189","98,655,842,769"
2018-06-02,"31,033","11,109,222","98,948,583,369"
2018-06-03,"27,224","11,136,446","99,202,825,169"
2018-06-04,"8,637","11,145,083","99,280,695,969"
2018-06-05,"12,503","11,157,586","99,390,734,269"
2018-06-06,"7,434","11,165,020","99,456,655,869"
2018-06-07,"2,055","11,167,075","99,473,464,869"
2018-06-08,"2,241","11,169,316","99,494,065,469"
2018-06-09,"4,062","11,173,378","99,530,564,269"
2018-06-10,"3,575","11,176,953","99,561,715,869"
2018-06-11,"1,954","11,178,907","99,577,211,569"
2018-06-12,"2,271","11,181,178","99,596,042,969"
2018-06-13,"1,627","11,182,805","99,610,495,169"
2018-06-14,521,"11,183,326","99,614,788,969"
2018-06-15,650,"11,183,976","99,620,698,769"
2018-06-16,"1,207","11,185,183","99,631,591,069"
2018-06-17,"1,214","11,186,397","99,642,214,269"
2018-06-18,411,"11,186,808","99,645,520,069"
2018-06-19,571,"11,187,379","99,650,099,469"
2018-06-20,524,"11,187,903","99,654,469,769"
2018-06-21,260,"11,188,163","99,656,605,769"
2018-06-22,272,"11,188,435","99,659,073,769"
2018-06-23,"2,904","11,191,339","99,693,033,269"
2018-06-24,"2,774","11,194,113","99,725,175,069"
2018-06-25,"1,201","11,195,314","99,738,964,669"
2018-06-26,"1,169","11,196,483","99,752,291,569"
2018-06-27,"1,193","11,197,676","99,766,145,069"
2018-06-28,867,"11,198,543","99,776,291,069"
2018-06-29,"1,373","11,199,916","99,792,683,169"
2018-06-30,"2,721","11,202,637","99,825,092,869"
2018-07-01,"2,335","11,204,972","99,852,904,269"
2018-07-02,"1,055","11,206,027","99,865,182,569"
2018-07-03,"1,360","11,207,387","99,881,167,069"
2018-07-04,101,"11,207,488","99,881,998,369"
2018-07-05,151,"11,207,639","99,883,285,169"
2018-07-06,128,"11,207,767","99,884,445,469"
2018-07-07,247,"11,208,014","99,886,663,469"
2018-07-08,220,"11,208,234","99,888,658,969"
2018-07-09,180,"11,208,414","99,890,154,469"
2018-07-10,193,"11,208,607","99,891,690,769"
2018-07-11,137,"11,208,744","99,892,762,069"
2018-07-12,145,"11,208,889","99,893,912,569"
2018-07-13,170,"11,209,059","99,895,474,969"
2018-07-14,250,"11,209,309","99,897,638,269"
2018-07-15,267,"11,209,576","99,899,950,269"
2018-07-16,156,"11,209,732","99,901,272,369"
2018-07-17,193,"11,209,925","99,902,899,869"
2018-07-18,149,"11,210,074","99,904,095,169"
2018-07-19,144,"11,210,218","99,905,273,269"
2018-07-20,108,"11,210,326","99,906,171,269"
2018-07-21,239,"11,210,565","99,908,387,069"
2018-07-22,234,"11,210,799","99,910,478,869"
2018-07-23,119,"11,210,918","99,911,385,169"
2018-07-24,125,"11,211,043","99,912,345,269"
2018-07-25,61,"11,211,104","99,912,817,269"
2018-07-26,82,"11,211,186","99,913,507,269"
2018-07-27,65,"11,211,251","99,914,059,769"
2018-07-28,88,"11,211,339","99,914,819,269"
2018-07-29,89,"11,211,428","99,915,606,269"
2018-07-30,49,"11,211,477","99,915,983,769"
2018-07-31,50,"11,211,527","99,916,344,769"
2018-08-01,40,"11,211,567","99,916,621,269"
2018-08-02,52,"11,211,619","99,917,006,269"
2018-08-03,50,"11,211,669","99,917,443,269"
2018-08-04,5,"11,211,674","99,917,483,269"
2018-08-05,10,"11,211,684","99,917,558,269"
2018-08-06,23,"11,211,707","99,917,750,269"
2018-08-07,38,"11,211,745","99,918,036,769"
2018-08-09,14,"11,211,759","99,918,138,769"
2018-08-11,19,"11,211,778","99,918,280,769"
2018-08-13,8,"11,211,786","99,918,331,769"
2018-08-15,12,"11,211,798","99,918,419,769"
2018-08-17,7,"11,211,805","99,918,472,769"
2018-08-20,7,"11,211,812","99,918,521,769"
2018-08-22,6,"11,211,818","99,918,561,769"
2018-08-24,6,"11,211,824","99,918,609,769"
2018-08-26,6,"11,211,830","99,918,654,769"
2018-08-28,5,"11,211,835","99,918,689,769"
2018-08-30,6,"11,211,841","99,918,730,769"
2018-09-01,4,"11,211,845","99,918,760,769"
2018-09-05,5,"11,211,850","99,918,794,769"
2018-09-08,4,"11,211,854","99,918,826,769"
2018-09-10,7,"11,211,861","99,918,873,769"
2018-09-12,2,"11,211,863","99,918,885,769"
2018-09-14,4,"11,211,867","99,918,917,769"
2018-09-15,3,"11,211,870","99,918,936,769"
2018-09-16,3,"11,211,873","99,918,960,769"
2018-09-17,5,"11,211,878","99,918,992,769"
2018-09-18,2,"11,211,880","99,919,006,769"
2018-10-26,13,"11,211,893","99,919,113,269"
2018-10-27,88,"11,211,981","99,919,950,269"
2018-10-28,76,"11,212,057","99,920,687,269"
2018-10-29,40,"11,212,097","99,921,027,769"
2018-10-30,9,"11,212,106","99,921,107,769"
2018-10-31,9,"11,212,115","99,921,172,769"
2018-11-01,32,"11,212,147","99,921,442,269"
2018-11-02,64,"11,212,211","99,922,019,269"
2018-11-03,140,"11,212,351","99,923,383,769"
2018-11-04,93,"11,212,444","99,924,230,269"
2018-11-05,75,"11,212,519","99,924,835,769"
2018-11-06,29,"11,212,548","99,925,077,269"
2018-11-07,162,"11,212,710","99,926,399,769"
