num,date,people,acc_people,acc_money
1 ,2019-04-23,624,624,"9,360,000"
2 ,2019-04-24,"1,338,729","1,339,353","9,688,349,600"
3 ,2019-04-25,"832,180","2,171,533","16,837,301,150"
4 ,2019-04-26,"1,046,691","3,218,224","26,573,128,170"
5 ,2019-04-27,"1,662,469","4,880,693","41,543,135,770"
6 ,2019-04-28,"1,427,355","6,308,048","54,355,659,450"
7 ,2019-04-29,"471,789","6,779,837","58,455,194,670"
8 ,2019-04-30,"551,321","7,331,158","63,197,528,530"
9 ,2019-05-01,"911,374","8,242,532","70,622,585,080"
10 ,2019-05-02,"376,822","8,619,354","73,835,301,070"
11 ,2019-05-03,"567,060","9,186,414","78,999,407,980"
12 ,2019-05-04,"899,865","10,086,279","87,136,606,220"
13 ,2019-05-05,"866,036","10,952,315","95,028,901,150"
14 ,2019-05-06,"639,357","11,591,672","100,751,957,850"
15 ,2019-05-07,"164,346","11,756,018","102,202,015,560"
16 ,2019-05-08,"120,161","11,876,179","103,287,237,560"
17 ,2019-05-09,"110,547","11,986,726","104,262,986,620"
18 ,2019-05-10,"167,809","12,154,535","105,840,027,570"
19 ,2019-05-11,"354,219","12,508,754","109,106,323,020"
20 ,2019-05-12,"290,778","12,799,532","111,768,526,730"
21 ,2019-05-13,"82,378","12,881,910","112,506,763,940"
22 ,2019-05-14,"69,900","12,951,810","113,130,049,170"
23 ,2019-05-15,"62,153","13,013,963","113,674,308,070"
24 ,2019-05-16,"50,837","13,064,800","114,134,385,420"
25 ,2019-05-17,"73,269","13,138,069","114,844,255,670"
26 ,2019-05-18,"169,574","13,307,643","116,445,017,590"
27 ,2019-05-19,"145,997","13,453,640","117,805,056,120"
28 ,2019-05-20,"41,642","13,495,282","118,179,576,240"
29 ,2019-05-21,"36,047","13,531,329","118,507,860,840"
30 ,2019-05-22,"35,466","13,566,795","118,838,737,420"
