day,date,people,acc_people,acc_sales,series,daet
1,41019,822,822,9864000,avengers1,6
2,41022,440,1262,14712000,avengers1,14
3,41023,173,1435,16096000,avengers1,22
4,41024,78519,79954,755131000,avengers1,135
5,41025,214105,294059,2625016500,avengers1,765
6,41026,273544,567603,5083902000,avengers1,868
7,41027,554479,1122082,10048320500,avengers1,1071
8,41028,517247,1639329,14640036000,avengers1,1081
9,41029,229617,1868946,16634072500,avengers1,1006
10,41030,373004,2241950,19882860000,avengers1,615
11,41031,172731,2414681,21346811500,avengers1,658
12,41032,161353,2576034,22695575500,avengers1,439
13,41033,286669,2862703,25105921000,avengers1,506
14,41034,659320,3522023,30661681500,avengers1,860
15,41035,487146,4009169,34769426000,avengers1,950
16,41036,131681,4140850,35864070500,avengers1,569
17,41037,108871,4249721,36780031500,avengers1,350
18,41038,111123,4360844,37709286000,avengers1,353
19,41039,99761,4460605,38524882500,avengers1,397
20,41040,163291,4623896,39890468500,avengers1,242
21,41041,435438,5059334,43514898500,avengers1,422
22,41042,398260,5457594,46793026000,avengers1,596
23,41043,91973,5549567,47548168000,avengers1,262
24,41044,107046,5656613,48397364500,avengers1,193
25,41045,73094,5729707,48993710500,avengers1,192
26,41046,57355,5787062,49451329000,avengers1,148
27,41047,87293,5874355,50166932000,avengers1,130
28,41048,252465,6126820,52220540500,avengers1,220
29,41049,226787,6353607,54037711500,avengers1,318
30,41050,43248,6396855,54388033000,avengers1,149
1,42115,2442,2442,24541000,avengers2,0
2,42116,1059,3501,38415000,avengers2,0
3,42117,622165,625666,5277228700,avengers2,1873
4,42118,649804,1275470,11079384400,avengers2,1601
5,42119,1155761,2431231,21202301200,avengers2,1771
6,42120,1013207,3444438,30035856400,avengers2,2111
7,42121,295125,3739563,32554146500,avengers2,1163
8,42122,258186,3997749,34739441700,avengers2,816
9,42123,321740,4319489,37109988400,avengers2,699
10,42124,344644,4664133,39917273800,avengers2,565
11,42125,772772,5436905,46449760700,avengers2,850
12,42126,826765,6263670,53524931400,avengers2,1063
13,42127,747935,7011605,59935243500,avengers2,1118
14,42128,608983,7620588,64784404400,avengers2,959
15,42129,712523,8333111,70758364800,avengers2,1214
16,42130,133587,8466698,71845325100,avengers2,554
17,42131,106327,8573025,72719132800,avengers2,433
18,42132,146621,8719646,73970946869,avengers2,325
19,42133,344605,9064251,76948434953,avengers2,493
20,42134,313171,9377422,79625803453,avengers2,526
21,42135,74553,9451975,80249483953,avengers2,325
22,42136,73593,9525568,80862113753,avengers2,251
23,42137,70348,9595916,81443952153,avengers2,255
24,42138,44369,9640285,81780319653,avengers2,255
25,42139,76976,9717261,82395782548,avengers2,249
26,42140,165492,9882753,83731204857,avengers2,382
27,42141,142770,10025523,84880914057,avengers2,329
28,42142,33900,10059423,85142268057,avengers2,226
29,42143,29921,10089344,85370880557,avengers2,136
30,42144,29516,10118860,85595714657,avengers2,148
1,43214,624,624,9360000,avengers3,0
2,43215,980042,980666,6938631100,avengers3,6341
3,43216,595668,1576334,12134470000,avengers3,4761
4,43217,739908,2316242,19160496870,avengers3,1736
5,43218,1333307,3649549,31460918131,avengers3,1913
6,43219,1114946,4764495,41768335531,avengers3,1984
7,43220,495787,5260282,46128544531,avengers3,1357
8,43221,717324,5977606,52141788731,avengers3,1242
9,43222,276967,6254573,54596438631,avengers3,875
10,43223,265430,6520003,56936843031,avengers3,637
11,43224,419443,6939446,60853820684,avengers3,666
12,43225,820839,7760285,68405361544,avengers3,803
13,43226,737625,8497910,75316269144,avengers3,852
14,43227,516678,9014588,80069149344,avengers3,777
15,43228,125615,9140203,81199523644,avengers3,531
16,43229,109370,9249573,82182435044,avengers3,413
17,43230,101160,9350733,83097348244,avengers3,364
18,43231,144261,9494994,84480017518,avengers3,380
19,43232,348486,9843480,87782707101,avengers3,756
20,43233,290488,10133968,90521923401,avengers3,774
21,43234,79245,10213213,91251545901,avengers3,435
22,43235,83822,10297035,92008539101,avengers3,347
23,43236,47865,10344900,92394647701,avengers3,324
24,43237,41149,10386049,92730558701,avengers3,298
25,43238,59412,10445461,93251716577,avengers3,253
26,43239,128719,10574180,94390924469,avengers3,354
27,43240,115791,10689971,95412761069,avengers3,343
28,43241,92626,10782597,96138225369,avengers3,324
29,43242,90877,10873474,96923872769,avengers3,342
30,43243,18213,10891687,97072475169,avengers3,210
1,43578,624,624,9360000,avengers4,0
2,43579,1338729,1339353,9688349600,avengers4,10366
3,43580,832180,2171533,16837301150,avengers4,10393
4,43581,1046691,3218224,26573128170,avengers4,5866
